Oyun Adı,URL,Fiyat (MSRP),Dil,Türler,Metacritic Puanı,Oynanabilecek Yerleri,Offline Oyuncu Sayısı,Fiyat_Sayisal,Dil_Sayisi,Metacritic_Sayisal
The Legend of Zelda: Link’s Awakening,https://www.dekudeals.com/items/the-legend-of-zelda-links-awakening,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",87,"TV, Tabletop, Handheld",1,59.99,11,87.0
Luigi’s Mansion 3,https://www.dekudeals.com/items/luigis-mansion-3,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",86,"TV, Tabletop, Handheld",1 - 8,59.99,10,86.0
Super Mario Odyssey,https://www.dekudeals.com/items/super-mario-odyssey,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian","Action, Adventure",97,"TV, Tabletop, Handheld",1 - 2,59.99,8,97.0
The Legend of Zelda: Breath of the Wild,https://www.dekudeals.com/items/the-legend-of-zelda-breath-of-the-wild,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",97,"TV, Tabletop, Handheld",1,59.99,11,97.0
Super Mario 3D World + Bowser’s Fury,https://www.dekudeals.com/items/super-mario-3d-world-plus-bowsers-fury,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",89,"TV, Tabletop, Handheld",1 - 4,59.99,12,89.0
Super Smash Bros. Ultimate,https://www.dekudeals.com/items/super-smash-bros-ultimate,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Fighting, Party",93,"TV, Tabletop, Handheld",1 - 8,59.99,11,93.0
Mario Kart 8 Deluxe,https://www.dekudeals.com/items/mario-kart-8-deluxe,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian","Party, Racing",92,"TV, Tabletop, Handheld",1 - 4,59.99,9,92.0
The Legend of Zelda: Tears of the Kingdom,https://www.dekudeals.com/items/the-legend-of-zelda-tears-of-the-kingdom,$69.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",96,"TV, Tabletop, Handheld",1,69.99,11,96.0
Hollow Knight,https://www.dekudeals.com/items/hollow-knight,$15.00,"Japanese, Portuguese, English, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Action,90,"TV, Tabletop, Handheld",1,15.0,11,90.0
Kirby and the Forgotten Land,https://www.dekudeals.com/items/kirby-and-the-forgotten-land,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",85,"TV, Tabletop, Handheld",1 - 2,59.99,10,85.0
Donkey Kong Country: Tropical Freeze,https://www.dekudeals.com/items/donkey-kong-country-tropical-freeze,$59.99,"English, Spanish, French, German, Italian",Action,86,"TV, Tabletop, Handheld",1 - 2,59.99,5,86.0
Metroid Dread,https://www.dekudeals.com/items/metroid-dread,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Adventure",88,"TV, Tabletop, Handheld",1,59.99,11,88.0
Stardew Valley,https://www.dekudeals.com/items/stardew-valley,$14.99,"Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Action, Simulation",87,"TV, Tabletop, Handheld",1,14.99,11,87.0
Hades,https://www.dekudeals.com/items/hades,$24.99,"English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Action,93,"TV, Tabletop, Handheld",1,24.99,10,93.0
Animal Crossing: New Horizons,https://www.dekudeals.com/items/animal-crossing-new-horizons,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Simulation,90,"TV, Tabletop, Handheld",1 - 4,59.99,11,90.0
Super Mario Bros. Wonder,https://www.dekudeals.com/items/super-mario-bros-wonder,$59.99,"Japanese, English, Spanish, French, Portuguese, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Action,92,"TV, Tabletop, Handheld",1 - 4,59.99,12,92.0
New Super Mario Bros. U Deluxe,https://www.dekudeals.com/items/new-super-mario-bros-u-deluxe,$59.99,"Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Action,80,"TV, Tabletop, Handheld",1 - 4,59.99,12,80.0
