Oyun Adi,Fiyat,URL,Diller,PEGI,Platformlar
Fortnite,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fortnite/BT5P2X999VH2/0001,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Call of Duty®: Warzone™,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/call-of-duty-warzone/9NNFG8BQRCXL/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Tom Clancy's Rainbow Six® Siege - Ücretsiz Erişim,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/tom-clancys-rainbow-six-siege-ucretsiz-erisim/9P4837D6TSFD/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Roblox - Xbox,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/roblox-xbox/BQ1TN1T79V9K/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil Requiem,"3.449,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-requiem/9NMFWR0NRLZS/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Dead Island 2 Ultimate Edition,"2.499,00 ₺+",https://www.xbox.com/tr-TR/games/store/dead-island-2-ultimate-edition/9N0KRV3ZL4GQ/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Marathon Standard Edition,"1.499,00 ₺+",https://www.xbox.com/tr-TR/games/store/marathon-standard-edition/9P8MGMXNDV9B/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Rocket League®,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/rocket-league/C125W9BG2K0V/0001,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
skate.™ (Oyun Önizlemesi),Ücretsiz+,https://www.xbox.com/tr-TR/games/store/skate-oyun-onizlemesi/9PHF9K5Q6ZLZ/0010,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil Requiem Deluxe Edition,"3.849,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-requiem-deluxe-edition/9PC9TLBHHG89/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
ARC Raiders,"1.650,00 ₺+",https://www.xbox.com/tr-TR/games/store/arc-raiders/9NDF1F263RZ4/0010,N/A,N/A,Bilgisayar | Xbox Series X|S | Handheld
NBA 2K26 Standard Edition,"2.900,00 ₺+",https://www.xbox.com/tr-TR/games/store/nba-2k26-standard-edition/9PJ2RVRC0L1X/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Roblox - Windows,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/roblox-windows/9PMF91N3LZ3M/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Minecraft Launcher,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/minecraft-launcher/9PGW18NPBZV5/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Minecraft: Java & Bedrock Edition for PC,"1.199,00 ₺+",https://www.xbox.com/tr-TR/games/store/minecraft-java-bedrock-edition-for-pc/9NXP44L49SHJ/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Asphalt Legends,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/asphalt-legends/9NZQPT0MWTD0/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
eFootball™,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/efootball/9NT1ZBBV6WH6/0010,17 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
EA SPORTS FC™ 26 SHOWCASE,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/ea-sports-fc-26-showcase/9PP83QFF6TR4/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Call of Duty®: Modern Warfare® III,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/call-of-duty-modern-warfare-iii/9PMFDKG5F9R7/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Minecraft for Windows,,https://www.xbox.com/tr-TR/games/store/minecraft-for-windows/9NBLGGH2JHXJ/0010,N/A,N/A,Bilgisayar | Xbox Series X|S | Handheld
Battlefield™ REDSEC,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/battlefield-redsec/9N8PLG9HD32S/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Call of Duty®: Modern Warfare® II - DMZ Beta,Ücretsiz,https://www.xbox.com/tr-TR/games/store/call-of-duty-modern-warfare-ii-dmz-beta/9PGLFS9MB9CG/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Call of Duty®: Modern Warfare® II,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/call-of-duty-modern-warfare-ii/9N872NBW5XG5/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Marathon Deluxe Edition,"2.249,00 ₺+",https://www.xbox.com/tr-TR/games/store/marathon-deluxe-edition/9P608K3JRMZB/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
REANIMAL: Friend's Pass,Ücretsiz,https://www.xbox.com/tr-TR/games/store/reanimal-friends-pass/9NGSQD6JX1FT/0010,N/A,N/A,Bilgisayar | Xbox Series X|S | Handheld
Metro Saga Bundle,"2.200,00 ₺+",https://www.xbox.com/tr-TR/games/store/metro-saga-bundle/9N9Z4S1RD397/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Disney Speedstorm,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/disney-speedstorm/9PMR3T9NSF8W/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Microsoft Mahjong,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/microsoft-mahjong/9WZDNCRFHWCP/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
"Minecraft Deluxe Collection, Bedrock ve Bilgisayar için Java","1.599,00 ₺+",https://www.xbox.com/tr-TR/games/store/minecraft-deluxe-collection-bedrock-ve-bilgisayar-icin-java/9NQGKTXR9BZF/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
FORTNITE: Mazi,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fortnite-mazi/9PC5KKHSMCT5/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Marvel Rivals,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/marvel-rivals/9N8PMW7QMD3D/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S
