Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
MENACE,₺999,"RYO, Sıra Temelli Strateji, Uzay, Bulut Kayıtları, Tek Oyunculu","Metin: Geleneksel Çince, Ukraynaca, Türkçe, Lehçe, Japonca, Brezilya Portekizcesi, Rusça, Korece, Almanca, Basitleştirilmiş Çince, İngilizce, İspanyolca (İspanya), Fransızca",Overhype Studios,PEGI 16,https://store.epicgames.com/tr/p/menace-005d41
REANIMAL,₺1.749,"Kumanda Desteği, Online Multiplayer, Eşli, Tek Oyunculu, Macera, Korku",,Tarsier Studios,PEGI 18,https://store.epicgames.com/tr/p/reanimal
Dead Pets: A Punk Rock Slice of Life Sim,₺206,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,"Triple Topping, Akupara Games",PEGI 16,https://store.epicgames.com/tr/p/dead-pets-a-punk-rock-slice-of-life-sim-915c40
Konfronto,₺206,"Strateji, Rekabetçi, Rogue-lite, Tek Oyunculu, Bağımsız",,Flaming Fowl Studios,PEGI 3,https://store.epicgames.com/tr/p/konfronto-623aa3
Go Ape Ship!,,"Kumanda Desteği, Parti, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,"Sound Games, Lightfox Games",PEGI 3,https://store.epicgames.com/tr/p/go-ape-ship-53158b
Seven Knights Re:BIRTH,,"Sıra Temelli, RYO, Online Multiplayer, Rekabetçi",,Netmarble Nexus Seven Knights Re:BIRTH Team,PEGI 12,https://store.epicgames.com/tr/p/seven-knights-rebirth-c0db0a
High On Life 2,₺839,"Kumanda Desteği, Nişancı, Tek Oyunculu, Birinci Şahıs, Komedi",,Squanch Games,PEGI 18,https://store.epicgames.com/tr/p/high-on-life-2-fd5c96
Resident Evil Requiem,₺2.999,"Kumanda Desteği, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Korku",,CAPCOM,PEGI 18,https://store.epicgames.com/tr/p/resident-evil-requiem-4ead6d
Carmageddon: Rogue Shift,"₺1.020,25","Kumanda Desteği, Yarış, Aksiyon, Bulut Kayıtları, Tek Oyunculu",,34BigThings srl,PEGI 16,https://store.epicgames.com/tr/p/carmageddon-rogue-shift-c05a1f
NORSE: Oath of Blood,₺489,"RYO, Tek Oyunculu, Hikaye Anlatımı, Sıra Temelli Strateji",,Arctic Hazard,PEGI 16,https://store.epicgames.com/tr/p/norse-d7df8c
