URL,OpenCritic,ESRB Rating,Developer
https://www.dekudeals.com/items/the-legend-of-zelda-links-awakening,N/A,Everyone,N/A
https://www.dekudeals.com/items/luigis-mansion-3,N/A,Everyone,Next Level Games
https://www.dekudeals.com/items/super-mario-odyssey,N/A,Everyone 10+,Nintendo
https://www.dekudeals.com/items/the-legend-of-zelda-breath-of-the-wild,N/A,Everyone 10+,Nintendo
https://www.dekudeals.com/items/super-mario-3d-world-plus-bowsers-fury,N/A,Everyone,N/A
https://www.dekudeals.com/items/super-smash-bros-ultimate,N/A,Everyone 10+,Nintendo
https://www.dekudeals.com/items/mario-kart-8-deluxe,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/the-legend-of-zelda-tears-of-the-kingdom,N/A,Everyone 10+,Nintendo
https://www.dekudeals.com/items/hollow-knight,N/A,Everyone 10+,Team Cherry
https://www.dekudeals.com/items/kirby-and-the-forgotten-land,N/A,Everyone 10+,HAL Laboratory
https://www.dekudeals.com/items/donkey-kong-country-tropical-freeze,N/A,Everyone,Retro Studios
https://www.dekudeals.com/items/metroid-dread,N/A,Teen,MercurySteam
https://www.dekudeals.com/items/stardew-valley,N/A,Everyone 10+,ConcernedApe
https://www.dekudeals.com/items/hades,N/A,Teen,Supergiant Games
https://www.dekudeals.com/items/animal-crossing-new-horizons,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/super-mario-bros-wonder,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/new-super-mario-bros-u-deluxe,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/xenoblade-chronicles-definitive-edition,N/A,Teen,MONOLITH SOFT
https://www.dekudeals.com/items/the-legend-of-zelda-skyward-sword-hd,N/A,Everyone 10+,N/A
https://www.dekudeals.com/items/pokemon-legends-arceus,N/A,Everyone,GAME FREAK
https://www.dekudeals.com/items/fire-emblem-three-houses,N/A,Teen,Nintendo
https://www.dekudeals.com/items/xenoblade-chronicles-2,N/A,Teen,MONOLITHSOFT
https://www.dekudeals.com/items/astral-chain,N/A,Teen,PlatinumGames
https://www.dekudeals.com/items/metroid-prime-remastered,N/A,Teen,N/A
https://www.dekudeals.com/items/octopath-traveler,N/A,Teen,SQUARE ENIX
https://www.dekudeals.com/items/ori-and-the-will-of-the-wisps,N/A,Everyone,Moon Studios
https://www.dekudeals.com/items/paper-mario-the-origami-king,N/A,Everyone,N/A
https://www.dekudeals.com/items/cuphead,N/A,Everyone 10+,Studio MDHR
https://www.dekudeals.com/items/hollow-knight-silksong,N/A,Everyone 10+,Team Cherry
https://www.dekudeals.com/items/sea-of-stars,N/A,Everyone 10+,Sabotage Studio
https://www.dekudeals.com/items/the-legend-of-zelda-echoes-of-wisdom,N/A,Everyone 10+,N/A
https://www.dekudeals.com/items/yoshis-crafted-world,N/A,Everyone,Good-Feel
https://www.dekudeals.com/items/super-mario-party,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/mario-party-superstars,N/A,Everyone,Nintendo
https://www.dekudeals.com/items/ori-and-the-blind-forest-de,N/A,Everyone,Moon Studios
